customer_id,month,name,age,occupation,annual_income,num_bank_accounts,num_of_loans,type_of_loans,delay_from_due_date,num_of_delayed_payments,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
CUS_0x7812,July,Davev,22,Scientist,19653.0,3,4,"Personal Loan, Student Loan, Debt Consolidation Loan, and Not Specified",6,10.0,-5,3.0,Good,919.98,34.99,17 Years and 10 Months,NM,38.11,10000.0,Low_spent_Small_value_payments,216.29,Good
CUS_0x7812,August,Davev,22,Scientist,19653.0,3,4,"Personal Loan, Student Loan, Debt Consolidation Loan, and Not Specified",6,14.0,1,3.0,Good,919.98,32.45,17 Years and 11 Months,No,38.11,55.86,Low_spent_Small_value_payments,354.2,Good
CUS_0xc23d,August,Luciax,30,Scientist,174179.64,1,1,Personal Loan,3,5.0,5,6.0,Good,1355.93,42.19,29 Years and 4 Months,No,123.43,346.91,High_spent_Medium_value_payments,1214.36,Standard
CUS_0x46e6,July,Stevenf,19,Developer,9582.78,9,8,"Not Specified, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Debt Consolidation Loan",36,21.0,25,13.0,Bad,3525.61,28.21,8 Years and 3 Months,Yes,36.17,42.61,Low_spent_Small_value_payments,286.28,Poor
CUS_0x46e6,August,Stevenf,19,Developer,9582.78,9,8,"Not Specified, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Debt Consolidation Loan",36,21.0,25,13.0,Bad,3525.61,30.97,8 Years and 4 Months,NM,36.17,25.52,Low_spent_Large_value_payments,283.37,Poor
CUS_0x5ccb,July,Govindasamyh,42,Teacher,21720.96,0,2,"Student Loan, and Credit-Builder Loan",8,9.0,2,1.0,Good,992.78,29.53,18 Years and 10 Months,No,32.31,61.32,High_spent_Medium_value_payments,360.28,Standard
CUS_0x3ca6,August,Paritoshs,51,Journalist,38107.36,8,3,"Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",30,16.0,1,2.0,Standard,1472.7,24.91,22 Years and 10 Months,No,73.58,255.24,Low_spent_Large_value_payments,236.74,Standard
CUS_0x6345,July,Klaymanc,29,Teacher,20308.26,6,6,"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, and Mortgage Loan",33,11.0,13,15.0,Standard,1967.12,28.72,9 Years and 9 Months,Yes,99.86,114.24,Low_spent_Medium_value_payments,234.34,Poor
CUS_0x6345,August,Klaymanc,29,Teacher,20308.26,6,6,"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, and Mortgage Loan",33,11.0,11,15.0,Standard,1967.12,35.38,9 Years and 10 Months,Yes,99.86,164.72,Low_spent_Small_value_payments,193.86,Poor
CUS_0xc6bb,August,Kristend,21,Lawyer,60889.08,10,9,"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Home Equity Loan",44,23.0,27,10.0,Bad,4198.06,37.34,10 Years and 9 Months,Yes,336.84,195.59,High_spent_Medium_value_payments,203.48,Standard
CUS_0x683,August,LaCaprad,37,Media_Manager,13603.41,6,6,"Student Loan, Personal Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Debt Consolidation Loan",20,17.0,24,5.0,Standard,45.82,38.29,20 Years and 0 Months,Yes,53.76,34.15,High_spent_Medium_value_payments,248.45,Good
CUS_0x20e0,July,Anjuliy,34,Media_Manager,12943.48,5,6,"Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Payday Loan",15,12.0,10,6.0,Standard,265.36,26.65,7 Years and 3 Months,Yes,45.09,129.48,Low_spent_Small_value_payments,248.19,Standard
CUS_0x20e0,August,Anjuliy,34,Media_Manager,12943.48,5,6,"Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Payday Loan",20,14.0,10,6.0,Standard,265.36,39.23,7 Years and 4 Months,Yes,45.09,28.09,High_spent_Small_value_payments,319.58,Standard
CUS_0x3af5,July,James Daveyx,32,Mechanic,44483.64,8,8,"Personal Loan, Payday Loan, Payday Loan, Payday Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, and Personal Loan",24,16.0,20,7.0,Bad,2770.15,32.76,12 Years and 2 Months,Yes,160.26,54.66,High_spent_Large_value_payments,393.18,Standard
CUS_0xa9e3,July,Henryn,33,,7795.54,10,6,"Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, and Payday Loan",60,23.0,2,16.0,Bad,1990.69,30.14,19 Years and 1 Months,NM,29.6,52.08,Low_spent_Small_value_payments,288.78,Poor
CUS_0x3fa8,July,Kumarp,40,Writer,177243.92,4,-100,"Student Loan, Personal Loan, and Auto Loan",14,15.0,6,3.0,Good,488.95,34.95,28 Years and 10 Months,No,284.8,1233.37,Low_spent_Large_value_payments,204.45,Good
CUS_0x791e,August,Plumeq,42,Musician,35518.98,8,3,"Auto Loan, Student Loan, and Not Specified",12,16.0,15,9.0,Standard,1270.18,39.51,11 Years and 5 Months,Yes,84.76,142.66,Low_spent_Large_value_payments,349.48,Good
CUS_0x9953,July,Arunah,44,Journalist,8875.14,8,2,"Credit-Builder Loan, and Payday Loan",26,13.0,18,15.0,Standard,1353.77,27.49,17 Years and 7 Months,Yes,9.06,55.43,Low_spent_Medium_value_payments,314.47,Poor
CUS_0x9953,August,Arunah,44,Journalist,8875.14,8,2,"Credit-Builder Loan, and Payday Loan",26,14.0,23,15.0,Standard,1353.77,29.7,17 Years and 8 Months,Yes,9.06,84.29,Low_spent_Small_value_payments,295.61,Poor
CUS_0xaf1b,July,Ramakrishnans,36,Media_Manager,16708.07,6,8,"Personal Loan, Student Loan, Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Personal Loan",55,18.0,8,12.0,Bad,2674.89,39.57,14 Years and 11 Months,NM,76.27,25.29,High_spent_Medium_value_payments,284.37,Poor
CUS_0xaf1b,August,Ramakrishnans,36,Media_Manager,16708.07,6,8,"Personal Loan, Student Loan, Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Personal Loan",55,18.0,8,12.0,Bad,2674.89,27.86,15 Years and 0 Months,Yes,76.27,127.47,Low_spent_Medium_value_payments,212.19,Poor
CUS_0x2b8e,August,Annikai,29,Mechanic,141753.72,5,4,"Payday Loan, Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",10,14.0,18,6.0,Standard,477.41,24.48,17 Years and 10 Months,Yes,385.6,415.64,High_spent_Medium_value_payments,607.54,Good
CUS_0x264c,August,Wachtela,44,,48608.78,5,2,"Auto Loan, and Debt Consolidation Loan",14,17.0,15,12.0,Standard,345.71,38.55,16 Years and 5 Months,Yes,60.11,314.62,Low_spent_Large_value_payments,325.34,Standard
CUS_0x2e31,August,Kevin Limp,23,Scientist,63206.72,9,8,"Student Loan, Personal Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",41,15.0,26,13.0,Bad,4523.88,40.44,13 Years and 8 Months,Yes,231.29,339.68,High_spent_Small_value_payments,219.95,Standard
CUS_0x4f13,August,Cyril Altmeyerk,7721,Lawyer,63635.12,3,2,"Credit-Builder Loan, and Personal Loan",12,10.0,11,7.0,Good,122.65,35.47,25 Years and 0 Months,No,57.72,207.28,High_spent_Small_value_payments,542.69,Standard
CUS_0x5fbf,July,Luciar,46,Developer,8779.14,10,7,"Auto Loan, Payday Loan, Student Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Home Equity Loan",28,22.0,-3,13.0,Bad,1636.23,27.24,8 Years and 5 Months,Yes,32.41,24.48,Low_spent_Small_value_payments,283.88,Poor
CUS_0x4c1e,July,rag,35,Developer,16154.8,210,2,"Credit-Builder Loan, and Debt Consolidation Loan",22,16.0,17,6.0,Standard,275.06,40.34,8 Years and 1 Months,NM,24.46,92.18,Low_spent_Small_value_payments,317.68,Standard
CUS_0xaac3,July,Clairei,55,Manager,11631.4,4,1021,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",23,19.0,1,3.0,Good,165.88,30.06,31 Years and 9 Months,No,32.06,82.23,Low_spent_Medium_value_payments,251.54,Standard
CUS_0x2041,July,Gohm,32,Media_Manager,24726.48,4,2,"Personal Loan, and Student Loan",17,16.0,4,3.0,Standard,155.22,23.76,28 Years and 1 Months,No,25.14,162.16,Low_spent_Small_value_payments,279.45,Standard
CUS_0x7b15,July,Y.t,-500,,13065.87,5,2,"Personal Loan, and Personal Loan",14,14.0,1,5.0,Standard,1203.17,33.26,22 Years and 3 Months,No,16.04,118.48,Low_spent_Medium_value_payments,281.46,Standard
CUS_0x80b1,August,Lauram,18,Journalist,49447.74,7,5,"Personal Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",17,14.0,8,9.0,Standard,1286.68,29.94,12 Years and 11 Months,Yes,147.0,359.38,Low_spent_Large_value_payments,191.88,Standard
CUS_0xa6e4,July,Aruna Viswanathap,24,Teacher,42941.85,6,3,"Payday Loan, Credit-Builder Loan, and Student Loan",43,14.0,13,7.0,Standard,2328.67,33.82,11 Years and 2 Months,Yes,97.92,10000.0,High_spent_Large_value_payments,432.3,Poor
CUS_0xa6e4,August,Aruna Viswanathap,24,Teacher,42941.85,6,3,"Payday Loan, Credit-Builder Loan, and Student Loan",43,17.0,13,7.0,Standard,2328.67,33.07,11 Years and 3 Months,Yes,97.92,112.22,High_spent_Medium_value_payments,371.02,Poor
CUS_0x942a,August,Abboudy,34,Doctor,37824.65,5,3,"Personal Loan, Not Specified, and Credit-Builder Loan",4,8.0,2,5.0,Good,69.84,37.44,27 Years and 10 Months,No,67.56,45.4,High_spent_Medium_value_payments,457.85,Standard
CUS_0x5d7e,July,Huw Jonesc,17,Musician,61463.94,7,9,"Student Loan, Student Loan, Payday Loan, Student Loan, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Mortgage Loan",46,17.0,5,7.0,Bad,1751.87,33.99,12 Years and 2 Months,Yes,256.97,77.75,High_spent_Medium_value_payments,275.41,Poor
CUS_0x3474,July,Ransdellv,39,Entrepreneur,115800.54,4,1,Payday Loan,2,5.0,11,2.0,Good,194.96,36.63,25 Years and 7 Months,No,81.74,918.84,Low_spent_Medium_value_payments,265.42,Poor
CUS_0x3474,August,Ransdellv,39,Entrepreneur,115800.54,4,1,Payday Loan,2,2.0,11,2.0,Good,194.96,27.39,25 Years and 8 Months,No,81.74,235.23,Low_spent_Large_value_payments,939.03,Poor
CUS_0x9776,July,Carolinex,41,Manager,27632.92,8,3,"Student Loan, Credit-Builder Loan, and Not Specified",21,12.0,8,3.0,Standard,1103.71,37.19,20 Years and 11 Months,No,44.81,67.9,Low_spent_Large_value_payments,388.57,Poor
CUS_0x6632,July,Arunag,19,,22579073.0,2,2,"Not Specified, and Credit-Builder Loan",6,5.0,0,3.0,Good,284.95,31.35,18 Years and 5 Months,No,22.1,243.8,Low_spent_Small_value_payments,221.96,Good
CUS_0x6632,August,Arunag,19,Journalist,21846.06,2,2,"Not Specified, and Credit-Builder Loan",6,9.0,0,3.0,Good,284.95,29.59,18 Years and 6 Months,NM,22.1,59.62,Low_spent_Large_value_payments,386.14,Good
CUS_0x6d4,August,Lewis Krauskopfk,30,Media_Manager,8610.76,5,3,"Mortgage Loan, Personal Loan, and Credit-Builder Loan",27,11.0,23,13.0,Standard,1426.95,28.44,18 Years and 4 Months,Yes,14.97,25.88,High_spent_Small_value_payments,308.01,Standard
CUS_0x4bdf,July,Dorfmank,43,Developer,104564.64,4,2,"Mortgage Loan, and Debt Consolidation Loan",17,18.0,9,0.0,Standard,100.49,30.76,25 Years and 2 Months,No,112.93,462.92,Low_spent_Small_value_payments,614.42,Standard
CUS_0x3ba2,July,Valetkevitchv,28,Entrepreneur,59751.78,7,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Mortgage Loan",23,13.0,16,9.0,Standard,1485.94,26.1,15 Years and 11 Months,Yes,116.3,267.41,Low_spent_Large_value_payments,390.72,Poor
CUS_0x3ba2,August,Valetkevitchv,28,Entrepreneur,59751.78,7,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Mortgage Loan",22,13.0,16,9.0,Standard,1485.94,39.08,16 Years and 0 Months,Yes,116.3,381.8,Low_spent_Medium_value_payments,286.33,Poor
CUS_0x247e,August,Jenniferc,45,,118644.36,1,1,Auto Loan,13,1.0,4,6.0,Good,1100.42,42.93,31 Years and 8 Months,No,53.03,133.97,High_spent_Medium_value_payments,1066.31,Standard
CUS_0x438b,July,Kaori Kanekof,20,Media_Manager,81557.0,9,6,"Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",55,17.0,23,12.0,Bad,2628.52,33.88,11 Years and 11 Months,Yes,321.44,209.42,Low_spent_Large_value_payments,410.97,Poor
CUS_0x438b,August,Kaori Kanekof,20,Media_Manager,81557.0,9,6,"Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",54,15.0,22,12.0,Bad,2628.52,36.9,12 Years and 0 Months,Yes,321.44,226.2,High_spent_Medium_value_payments,374.2,Poor
CUS_0x7888,July,Humery,50,Architect,122713.6,5,2,"Credit-Builder Loan, and Not Specified",11,8.0,10,1.0,Standard,128.33,43.51,23 Years and 1 Months,NM,146.27,150.68,High_spent_Medium_value_payments,964.46,Standard
CUS_0x7888,August,Humery,50,Architect,122713.6,5,2,"Credit-Builder Loan, and Not Specified",11,10.0,12,1.0,Standard,128.33,36.69,23 Years and 2 Months,NM,146.27,735.39,Low_spent_Medium_value_payments,409.76,Standard
CUS_0xa83a,August,Niu Shupingq,23,Musician,82840.24,1,1,Not Specified,6,2.0,1,4.0,Good,360.92,35.84,19 Years and 0 Months,NM,56.69,327.85,Low_spent_Medium_value_payments,592.8,Poor
CUS_0x43c6,July,erl,25,Journalist,24195.37,7,1,Credit-Builder Loan,7,18.0,19,9.0,Standard,1163.09,28.41,29 Years and 10 Months,Yes,18.07,55.14,High_spent_Medium_value_payments,371.42,Standard
CUS_0x8d4f,July,Kazunori Takadas,18,Entrepreneur,7106.15,6,3,"Personal Loan, Auto Loan, and Debt Consolidation Loan",36,21.0,3,7.0,Bad,2688.12,27.06,19 Years and 4 Months,NM,9.58,19.89,Low_spent_Large_value_payments,299.75,Poor
CUS_0x8d4f,August,Kazunori Takadas,18,Entrepreneur,7106.15,6,3,"Personal Loan, Auto Loan, and Debt Consolidation Loan",41,21.0,3,7.0,Bad,2688.12,28.12,19 Years and 5 Months,Yes,9.58,40.91,Low_spent_Small_value_payments,298.73,Poor
CUS_0xa45d,July,Shahv,38,Doctor,20193.59,3,5,"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, Payday Loan, and Not Specified",21,12.0,11,6.0,Standard,1109.22,36.56,12 Years and 7 Months,Yes,68.09,66.42,Low_spent_Large_value_payments,275.57,Standard
CUS_0x7f32,July,Nick Zieminskij,32,Writer,62545.59,3,4,"Personal Loan, Student Loan, Payday Loan, and Student Loan",27,10.0,9,8.0,Standard,1138.71,31.57,17 Years and 7 Months,Yes,174.42,500.64,Low_spent_Medium_value_payments,118.26,Standard
CUS_0x8a5c,July,Lynnley Browninge,34,Journalist,42399.03,7,7,"Student Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, and Student Loan",9,14.0,9,17.0,Standard,2073.54,26.57,6 Years and 10 Months,Yes,196.69,136.1,Low_spent_Small_value_payments,314.44,Poor
CUS_0x5155,July,Terry Baynesh,28,Teacher,62139.51,6,8,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, and Payday Loan",59,23.0,24,8.0,Bad,2603.85,24.37,8 Years and 5 Months,NM,342.23,108.97,High_spent_Medium_value_payments,307.73,Poor
CUS_0x5155,August,Terry Baynesh,28,Teacher,62139.51,6,8,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, and Payday Loan",59,23.0,24,8.0,Bad,2603.85,38.62,8 Years and 6 Months,Yes,342.23,67.35,High_spent_Medium_value_payments,349.35,Poor
CUS_0x1e6b,July,Michaelc,27,Manager,62846.31,9,7,"Not Specified, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Not Specified",40,18.0,1,10.0,Bad,4073.62,32.46,2 Years and 3 Months,Yes,284.98,182.48,High_spent_Medium_value_payments,321.86,Poor
CUS_0x6514,July,Gonzalezf,32,Media_Manager,59438.91,6,9,"Personal Loan, Not Specified, Personal Loan, Auto Loan, Personal Loan, Payday Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",38,26.0,5,9.0,Bad,2259.86,27.91,9 Years and 7 Months,Yes,362.27,135.93,High_spent_Medium_value_payments,260.42,Standard
CUS_0x6514,August,Gonzalezf,32,Media_Manager,59438.91,6,9,"Personal Loan, Not Specified, Personal Loan, Auto Loan, Personal Loan, Payday Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",38,22.0,5,9.0,Bad,2259.86,28.44,9 Years and 8 Months,Yes,362.27,166.83,High_spent_Medium_value_payments,229.53,Standard
CUS_0x32e5,August,Ernesti,32,,146866.76,4,3,"Student Loan, Not Specified, and Student Loan",22,18.0,5,3.0,Standard,247.08,35.81,22 Years and 5 Months,No,218.48,1054.49,Low_spent_Large_value_payments,207.92,Standard
CUS_0x65f6,July,Rachelle Younglais,30,Accountant,61476.93,6,5,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Not Specified, and Not Specified",35,22.0,7,955.0,Bad,3322.38,31.6,8 Years and 5 Months,Yes,212.56,210.75,Low_spent_Small_value_payments,360.7,Poor
CUS_0x65f6,August,Rachelle Younglais,30,Accountant,61476.93,6,5,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Not Specified, and Not Specified",35,24.0,7,14.0,Bad,3322.38,36.49,8 Years and 6 Months,Yes,212.56,235.92,High_spent_Small_value_payments,305.53,Standard
CUS_0xbbff,August,Swatin,24,Writer,16198.3,4,2,"Not Specified, and Not Specified",12,5.0,11,0.0,Good,1439.09,35.25,31 Years and 3 Months,No,14.35,37.08,High_spent_Small_value_payments,317.56,Standard
CUS_0x144d,August,Dokoupill,23,Mechanic,20938.03,6,5,"Payday Loan, Not Specified, Not Specified, Not Specified, and Student Loan",12,15.0,-2,11.0,Bad,1657.74,26.56,10 Years and 3 Months,Yes,56.26,62.56,Low_spent_Medium_value_payments,350.86,Standard
CUS_0x4a74,August,Dennyb,25,Lawyer,21364.2,3,1,Credit-Builder Loan,9,15.0,9,6.0,Standard,1178.6,31.94,29 Years and 11 Months,Yes,9.23,189.0,Low_spent_Small_value_payments,264.61,Standard
CUS_0x3f5f,July,Barreran,4787,Entrepreneur,16808.35,8,7,"Auto Loan, Auto Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",8,16.0,17,5.0,Standard,1330.72,40.49,19 Years and 11 Months,Yes,64.88,50.2,Low_spent_Small_value_payments,293.8,Poor
CUS_0x3f5f,August,Barreran,4787,Entrepreneur,16808.35,8,7,"Auto Loan, Auto Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",8,16.0,21,5.0,Standard,1330.72,28.7,20 Years and 0 Months,Yes,64.88,122.86,Low_spent_Small_value_payments,221.14,Poor
CUS_0x768c,July,Margaret Chadbournu,25,Lawyer,53908.41,9,5,"Mortgage Loan, Credit-Builder Loan, Not Specified, Student Loan, and Auto Loan",39,21.0,25,11.0,Bad,3078.82,37.49,14 Years and 1 Months,Yes,219.84,446.34,Low_spent_Small_value_payments,69.46,Poor
CUS_0x32b1,August,Stevef,46,Manager,16718.08,8,5,"Mortgage Loan, Student Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",61,20.0,23,6.0,Bad,2931.99,33.37,8 Years and 10 Months,Yes,41.41,116.66,Low_spent_Small_value_payments,293.65,Standard
CUS_0x17f3,August,Ronald Groverk,39,Manager,83355.33,6,2,"Not Specified, and Mortgage Loan",11,15.0,10,4.0,Standard,677.27,26.04,30 Years and 2 Months,Yes,75.97,236.94,High_spent_Small_value_payments,667.92,Standard
CUS_0x8831,July,Paulr,44,Media_Manager,11646.19,6,2,"Debt Consolidation Loan, and Home Equity Loan",14,20.0,9,6.0,Standard,847.88,25.96,18 Years and 8 Months,Yes,10.05,20.62,High_spent_Medium_value_payments,301.28,Standard
CUS_0x83a4,August,David Tollu,46,Writer,69577.92,5,-100,"Payday Loan, Student Loan, and Debt Consolidation Loan",16,3.0,8,4.0,Good,491.67,26.59,19 Years and 4 Months,No,135.38,420.25,Low_spent_Small_value_payments,322.59,Poor
CUS_0x5db1,July,Herbertm,37,Developer,25621.01,3,2,"Home Equity Loan, and Payday Loan",14,9.0,5,2.0,Good,1336.73,26.56,31 Years and 1 Months,No,26.75,243.04,Low_spent_Small_value_payments,203.92,Standard
CUS_0x5db1,August,Herbertm,37,Developer,25621.01,3,2,"Home Equity Loan, and Payday Loan",14,10.0,6,2.0,Good,1336.73,31.54,31 Years and 2 Months,NM,26.75,203.64,Low_spent_Small_value_payments,243.32,Standard
CUS_0x58f,July,Rachelle Younglaia,30,Architect,55324.29,9,8,"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Personal Loan, Personal Loan, Auto Loan, Auto Loan, and Home Equity Loan",60,21.0,26,7.0,Bad,4270.21,38.19,8 Years and 1 Months,Yes,245.1,158.21,High_spent_Medium_value_payments,280.13,Standard
CUS_0x437c,August,Vidalonw,46,Lawyer,42947.49,4,2,"Personal Loan, and Auto Loan",15,20.0,18,12.0,Standard,2266.69,34.89,15 Years and 5 Months,Yes,47.94,81.28,High_spent_Medium_value_payments,467.88,Standard
CUS_0x28df,July,Ransdell Piersona,17,Scientist,49023.6,5,6,"Payday Loan, Payday Loan, Student Loan, Not Specified, Auto Loan, and Payday Loan",13,15.0,6,6.0,Standard,2521.52,26.31,14 Years and 9 Months,Yes,211.71,128.36,High_spent_Medium_value_payments,303.46,Poor
CUS_0x28df,August,Ransdell Piersona,17,Scientist,49023.6,5,6,"Payday Loan, Payday Loan, Student Loan, Not Specified, Auto Loan, and Payday Loan",13,15.0,9,6.0,Standard,2521.52,38.25,14 Years and 10 Months,Yes,211.71,139.61,Low_spent_Small_value_payments,332.21,Poor
CUS_0x2e15,August,David Laguek,38,Teacher,44036.97,2,4,"Home Equity Loan, Personal Loan, Student Loan, and Home Equity Loan",15,3.0,7,4.0,Good,992.83,35.84,29 Years and 6 Months,NM,82.99,10000.0,Low_spent_Small_value_payments,461.69,Poor
CUS_0xc4c9,July,Melj,30,Entrepreneur,16568.42,5,1,Payday Loan,14,8.0,3,5.0,Standard,478.11,40.91,29 Years and 4 Months,No,8.47,23.76,High_spent_Medium_value_payments,372.83,Standard
CUS_0xac39,July,Rickt,30,Writer,14952.03,10,9,"Payday Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Mortgage Loan",19,24.0,17,10.0,Bad,3566.21,37.98,4 Years and 5 Months,Yes,105.58,130.05,Low_spent_Large_value_payments,178.86,Standard
CUS_0x448c,July,Samuel Shena,16,Mechanic,101500.92,4,2,"Payday Loan, and Personal Loan",29,16.0,10,6.0,Standard,835.46,39.9,15 Years and 8 Months,Yes,141.55,71.54,High_spent_Large_value_payments,892.56,Poor
CUS_0x76d4,July,Stephen Aldredo,47,Entrepreneur,36591.25,7,4,"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",17,10.0,7,5.0,Standard,575.21,33.55,33 Years and 5 Months,No,67.41,246.64,Low_spent_Medium_value_payments,277.47,Standard
CUS_0x1b41,July,Jonesn,40,Engineer,19910.51,9,5,"Home Equity Loan, Payday Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",57,23.0,27,16.0,Bad,3957.01,38.89,6 Years and 1 Months,Yes,57.67,70.69,High_spent_Small_value_payments,293.86,Standard
CUS_0xed3,July,Manuelo,30,Developer,36035.32,9,4,"Credit-Builder Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",28,20.0,16,8.0,Standard,2138.6,40.9,7 Years and 5 Months,Yes,79.98,105.3,Low_spent_Large_value_payments,375.81,Standard
CUS_0x1f96,July,Johno,25,Architect,113383.14,1,4,"Student Loan, Auto Loan, Payday Loan, and Student Loan",4,3.0,3,0.0,Good,82.71,26.61,17 Years and 9 Months,No,376.56,197.48,High_spent_Medium_value_payments,608.12,Good
CUS_0x3ea1,July,Shalal-Esae,45,Writer,51552.6,6,3,"Debt Consolidation Loan, Student Loan, and Mortgage Loan",11,13.0,18,6.0,Standard,1710.66,36.06,14 Years and 9 Months,Yes,119.86,325.75,Low_spent_Medium_value_payments,275.7,Standard
CUS_0x3ea1,August,Shalal-Esae,45,Writer,51552.6,6,3,"Debt Consolidation Loan, Student Loan, and Mortgage Loan",11,10.0,24,6.0,Standard,1710.66,38.03,14 Years and 10 Months,Yes,119.86,248.28,High_spent_Small_value_payments,333.17,Standard
CUS_0x5624,July,Zeidlerq,37,Developer,39579.6,6,6,"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Personal Loan, Auto Loan, and Debt Consolidation Loan",19,13.0,17,5.0,Standard,634.77,38.72,16 Years and 11 Months,Yes,127.94,293.91,Low_spent_Medium_value_payments,178.78,Standard
CUS_0x5624,August,Zeidlerq,37,Developer,39579.6,6,6,"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Personal Loan, Auto Loan, and Debt Consolidation Loan",19,13.0,17,5.0,Standard,634.77,34.15,17 Years and 0 Months,Yes,127.94,297.66,Low_spent_Large_value_payments,165.03,Standard
CUS_0x5719,July,Jeremy Pelofskyk,28,Writer,41342.86,8,4,"Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",11,20.0,12,8.0,Standard,262.96,23.74,6 Years and 10 Months,Yes,211.67,321.47,Low_spent_Medium_value_payments,171.42,Standard
CUS_0x136b,July,Luciana Otonit,45,Writer,120260.2,4,1,Mortgage Loan,14,17.0,18,2.0,Standard,1436.96,35.69,20 Years and 11 Months,Yes,53.16,185.89,High_spent_Medium_value_payments,1001.42,Poor
CUS_0x136b,August,Luciana Otonit,45,Writer,120260.2,4,1,Mortgage Loan,14,15.0,18,2.0,Standard,1436.96,42.64,21 Years and 0 Months,Yes,53.16,239.16,Low_spent_Large_value_payments,968.15,Poor
CUS_0x122c,August,Papadimasf,48,Entrepreneur,36346.13,8,3,"Credit-Builder Loan, Home Equity Loan, and Auto Loan",21,15.0,10,4.0,Good,1252.46,28.07,22 Years and 2 Months,NM,89.06,110.51,High_spent_Medium_value_payments,369.31,Standard
CUS_0x41cc,July,Economics Correspondento,40,Accountant,25399.68,4,3,"Personal Loan, Mortgage Loan, and Home Equity Loan",28,10.0,14,11.0,Standard,1495.03,39.6,16 Years and 1 Months,Yes,61.0,68.47,High_spent_Medium_value_payments,332.99,Poor
CUS_0x36c7,August,Sarah McBrided,46,Scientist,51307.1,8,2,"Debt Consolidation Loan, and Debt Consolidation Loan",22,14.0,9,5.0,Standard,878.19,33.71,32 Years and 5 Months,NM,49489.0,73.56,High_spent_Medium_value_payments,556.66,Standard
